z,x,y
0.0,0.0,0.6864629719614489
0.0,2.0,0.2464067852608008
0.0,4.0,0.6423630905398409
0.0,6.0,0.4021762132393808
0.0,8.0,-0.000257506200669349
0.0,10.0,-0.0851230290518325
0.0,12.0,0.03201023028819018
0.0,14.0,0.7380842616992521
0.0,16.0,-0.12568104820181886
0.0,18.0,0.20682606717277685
0.0,20.0,0.06874825149961156
0.0,22.0,0.180579276720377
0.0,24.0,0.06935597059301883
0.0,26.0,0.42181453766467997
0.0,28.0,0.31234743904354945
0.0,30.0,-0.010628800983469145
2.0,0.0,0.5950138596468187
2.0,2.0,0.14822058016385925
2.0,4.0,0.3307950913750123
2.0,6.0,0.0905623008714812
2.0,8.0,0.446755143633745
2.0,10.0,0.23080847021696158
2.0,12.0,0.1260615583000827
2.0,14.0,0.0409785577132521
2.0,16.0,0.04411296982145355
2.0,18.0,0.24499062302974292
2.0,20.0,0.08561084966581184
2.0,22.0,-0.08783248663313319
2.0,24.0,-0.11886764943826626
2.0,26.0,0.4523510153216462
2.0,28.0,0.0271616183865224
2.0,30.0,0.03942583360351283
4.0,0.0,0.3726978902117504
4.0,2.0,0.03159202093540779
4.0,4.0,-0.3364173617154171
4.0,6.0,-0.8910097109708139
4.0,8.0,-0.7954313661918517
4.0,10.0,-0.6530690921040929
4.0,12.0,-0.29248924322536285
4.0,14.0,-0.3969414104532131
4.0,16.0,-0.6976702465093882
4.0,18.0,-0.2647856389371714
4.0,20.0,-0.18503266436588917
4.0,22.0,-0.7053866793619381
4.0,24.0,-0.7862373294395764
4.0,26.0,-0.5281205668372636
4.0,28.0,-0.5113493916529839
4.0,30.0,-0.27410504324255025
6.0,0.0,0.35308321792497277
6.0,2.0,-0.21194091400768703
6.0,4.0,0.221137441259841
6.0,6.0,0.44583983160956714
6.0,8.0,0.828824217581096
6.0,10.0,0.8784927157127472
6.0,12.0,0.9770159727315066
6.0,14.0,0.6172614367752404
6.0,16.0,-0.06507362756989114
6.0,18.0,0.6984906760507827
6.0,20.0,1.3771464713504156
6.0,22.0,1.4615865599732563
6.0,24.0,0.8299529119964286
6.0,26.0,1.0392652617544254
6.0,28.0,0.6562647176606787
6.0,30.0,0.44560089879612086
8.0,0.0,-0.2630556990537462
8.0,2.0,0.48419597115135665
8.0,4.0,1.1315510426200068
8.0,6.0,0.8134116091651353
8.0,8.0,0.9387650254430439
8.0,10.0,0.5922403103321012
8.0,12.0,0.4582662824404864
8.0,14.0,0.31842278933520596
8.0,16.0,0.4974957716272894
8.0,18.0,0.12909534808680176
8.0,20.0,0.19884677062065878
8.0,22.0,0.29799606349815644
8.0,24.0,0.07107224150682366
8.0,26.0,0.3821892912394071
8.0,28.0,0.22670433732437076
8.0,30.0,0.2866959222472592
10.0,0.0,-0.9584705529287871
10.0,2.0,-0.48348753585551285
10.0,4.0,-0.12188753176825814
10.0,6.0,-0.8059785594843935
10.0,8.0,-0.44535765588177323
10.0,10.0,-0.6238866930944976
10.0,12.0,-0.954655384177468
10.0,14.0,-0.8059282674187596
10.0,16.0,-0.9594016171462163
10.0,18.0,-0.8067503426405525
10.0,20.0,-0.5761834678386368
10.0,22.0,-0.09297457007091449
10.0,24.0,-0.02928722993064504
10.0,26.0,0.051790118164211446
10.0,28.0,0.26068347688629673
10.0,30.0,0.2894594667848518
12.0,0.0,-1.6682205880180552
12.0,2.0,-1.142161749103965
12.0,4.0,-0.9590561513463325
12.0,6.0,-0.926567359957463
12.0,8.0,-0.4665137345223533
12.0,10.0,-0.5774494782399661
12.0,12.0,-0.16031463953924557
12.0,14.0,-0.6043082319513353
12.0,16.0,-0.818526700971062
12.0,18.0,-1.1332537108854661
12.0,20.0,-0.49670042875085746
12.0,22.0,-0.5380618448966312
12.0,24.0,-1.1308527169782665
12.0,26.0,-0.9155809756358573
12.0,28.0,-0.2626289848611092
12.0,30.0,-0.02315932304031175
14.0,0.0,-1.9757656148964706
