PEEQ_avg,eta_avg,thetabar_avg
6.59E-05,0.21961502,0.584714192
0.000371211,0.252108792,0.668225268
0.001092067,0.253335516,0.65508064
0.002244986,0.249141274,0.637026707
0.00374245,0.244925558,0.620090391
0.005776164,0.23387322,0.581460827
0.008039782,0.220667,0.536942918
0.010834022,0.203022517,0.475746898
0.013821961,0.186746199,0.419988918
0.017294138,0.171430705,0.366415422
0.02104159,0.163099727,0.335872599
0.025427645,0.147761891,0.280678272
0.029840022,0.139429019,0.247337055
0.035018539,0.136490622,0.23415032
0.040503773,0.123902894,0.190213534
0.046519202,0.10991602,0.142254963
0.052736812,0.110788853,0.140238458
0.05949841,0.098138063,0.095891044
0.066705741,0.083917404,0.049190429
0.073988189,0.088940834,0.057993467
0.081843137,0.075987251,0.015358044
0.089621211,0.082417768,0.032410494
0.09822408,0.073161387,-0.004815115
0.106473423,0.083548887,0.02107355
0.115521798,0.075162794,-0.012399203
0.124221577,0.090239976,0.023074938
0.133344274,0.097720614,0.04104596
0.142488951,0.097578186,0.033103324
0.151771932,0.113844283,0.075580641
0.160861113,0.130397965,0.125018088
0.170175455,0.146216823,0.175864044
0.179554418,0.161241668,0.22740901
0.188965094,0.175620232,0.280129538
0.197921979,0.203712427,0.38604204
0.207145267,0.219891635,0.454148348
0.216112106,0.244682057,0.552054007
0.225484638,0.266565178,0.636554835
0.234232582,0.285769102,0.707630253
0.243314248,0.302929223,0.768426378
0.252047863,0.314683521,0.810597775
0.261066391,0.325319385,0.847444298
0.26978279,0.331271925,0.870473735
0.278696645,0.336594059,0.889300184
0.28739181,0.339701787,0.901235688
0.296237511,0.341634515,0.909400666
0.304878055,0.343063137,0.914715998
0.313651694,0.344057252,0.918118886
0.322246229,0.344542343,0.919979418
0.330927538,0.344634205,0.920965142
0.339439266,0.34449034,0.921409407
0.347980738,0.34422485,0.921659056
0.356368661,0.343804735,0.921762155
0.364725592,0.343305688,0.921807752
0.372954131,0.342805583,0.921878321
0.381011533,0.342278227,0.921933043
0.389850796,0.341826937,0.922166494
0.396635455,0.341396725,0.922211375
0.405041008,0.341009446,0.922609331
0.412452972,0.340742361,0.922927371
0.419794903,0.340475831,0.9233522
0.427906738,0.340287252,0.924028007
0.43424426,0.340155976,0.924422576
0.441496391,0.340030015,0.925123548
0.448486503,0.33995677,0.925759801
0.454647503,0.340144119,0.925312654
0.4612989,0.33982038,0.927271905
0.467516282,0.339763176,0.928268676
0.473490249,0.340003447,0.928153536
0.479821891,0.339767865,0.929764709
0.485481419,0.339825623,0.930504829
0.491285445,0.339827689,0.931475056
