PEEQ-164413,eta-164413,thetabar-16441
8.65E-05,0.279902021,0.812856964
0.000985214,0.242926197,0.705131351
0.002220769,0.225301265,0.653584678
0.003805066,0.217202415,0.624912558
0.005926467,0.204328271,0.586236961
0.008289219,0.187855759,0.540339949
0.011202895,0.166596342,0.477052283
0.014321899,0.147712946,0.420754824
0.017938528,0.130568828,0.368798127
0.021847056,0.120229606,0.341027251
0.026445972,0.096732767,0.27508804
0.031083453,0.083543211,0.234296047
0.036513023,0.078631778,0.219673036
0.04229518,0.058910615,0.163461955
0.048640516,0.03881153,0.107502022
0.055196553,0.03643402,0.102845426
0.062387325,0.01380706,0.033388872
0.070024878,-0.006438243,-0.031611972
0.077737436,-0.005324149,-0.029027657
0.086202435,-0.028351931,-0.089901287
0.09457887,-0.018960598,-0.059432752
0.103976652,-0.041131221,-0.120351535
0.112905905,-0.024898792,-0.073550295
0.122846447,-0.048294485,-0.13864288
0.132274896,-0.025610845,-0.074717449
0.142257735,-0.01553952,-0.04744685
0.152159348,-0.021403651,-0.064012374
0.162058219,0.005170577,0.013390765
0.171569616,0.042313355,0.117399829
0.181238115,0.080888644,0.226590626
0.190884233,0.119213891,0.337387056
0.200520828,0.155425161,0.440793545
0.209567174,0.220685194,0.63299778
0.21894595,0.252719143,0.731359907
0.228058964,0.29260209,0.856330912
0.237653643,0.312589655,0.921767254
0.246659279,0.322177172,0.953541887
0.256054699,0.327404021,0.970751147
0.26509887,0.329116616,0.977023702
0.274455637,0.333433447,0.988022113
0.283501834,0.333854447,0.989809218
0.292748839,0.335910846,0.990877964
0.301760972,0.336905325,0.989685221
0.310922384,0.337241207,0.989056527
0.319863558,0.337595241,0.988221973
0.328931093,0.337923462,0.987205779
0.337797314,0.338018145,0.986959064
0.346740723,0.337770659,0.987555409
0.355493426,0.33743398,0.988328635
0.364260584,0.337061392,0.989197617
0.372855216,0.336608798,0.990129223
0.381403953,0.336226952,0.990861555
0.389804244,0.335842877,0.991588161
0.398015648,0.335519485,0.991998239
0.407025725,0.335397599,0.992101641
0.413897455,0.335082972,0.992477014
0.422432095,0.335006698,0.992570353
0.429938704,0.334889331,0.992696302
0.437352598,0.334798723,0.992728506
0.445556909,0.334845374,0.992792843
0.451926261,0.334775397,0.992825359
0.459221691,0.334798403,0.992890451
0.466249466,0.334830165,0.99290669
0.472392648,0.336340934,0.991832762
0.479082525,0.334979364,0.992650837
0.485388339,0.335081592,0.993205628
0.491360366,0.335596543,0.992464558
0.49773258,0.334728659,0.992729487
0.503355145,0.334980363,0.992906155
0.509126961,0.334970258,0.993377279
