z,x,y
0,0,-2.6276812127694344
0,1,-3.175628801391756
0,2,-3.269878418201531
0,3,-2.7898408700441486
0,4,-3.157223903434823
0,5,-3.926597703162785
0,6,-4.163881233192192
0,7,-4.313645390615406
0,8,-4.593128114940176
0,9,-4.763012418975281
0,10,-4.846177108047931
0,11,-4.47048709044883
0,12,-3.641388778320462
0,13,-3.4065339825192598
0,14,-3.9283119086129012
0,15,-4.306585153966992
0,16,-4.437579327634616
0,17,-4.43509606327002
0,18,-3.923634211549906
0,19,-3.3847799934344387
0,20,-3.655823111585102
0,21,-4.3554543564301165
0,22,-4.866648815373881
0,23,-5.195729142228676
0,24,-5.0849594696327385
0,25,-4.433442521690624
0,26,-4.0602172740099
0,27,-4.336110993609074
0,28,-4.441983707144349
0,29,-3.947652910959213
0,30,-3.507738176359479
1,0,-3.9079864135089757
1,1,-4.415043645051119
1,2,-4.246246760944025
1,3,-3.658778382132818
1,4,-4.004244945970997
1,5,-4.738152290217527
1,6,-5.046271549992333
1,7,-5.283486582010194
1,8,-5.448901431215371
1,9,-5.464207847755707
1,10,-5.639587493254676
1,11,-5.420773872118374
1,12,-4.488826465472335
1,13,-4.095100555636841
1,14,-4.760679342806942
1,15,-5.371847339186284
1,16,-5.451115002546309
1,17,-5.307401520540527
1,18,-4.871171635509867
1,19,-4.41670590392308
1,20,-4.598527610356707
1,21,-5.280512747822905
1,22,-5.8789849103292475
1,23,-6.125235420329427
1,24,-5.862177005482491
1,25,-5.2117234728499175
1,26,-4.7849264890568595
1,27,-4.924216156527058
1,28,-5.152189050965267
1,29,-4.840215702890495
1,30,-4.2229162717013535
2,0,-2.2314830512049237
2,1,-2.6295877698729084
2,2,-2.562949582144078
2,3,-2.062493312708027
2,4,-2.222126006070894
2,5,-2.8194165176793207
2,6,-3.2168917750918515
2,7,-3.457370825928644
2,8,-3.4807135464006516
2,9,-3.3863871930089986
2,10,-3.47497103646899
2,11,-3.2665445124265475
2,12,-2.477053578605022
2,13,-2.072099716400361
2,14,-2.6101145198707028
2,15,-3.3517037053905168
2,16,-3.6204236868445006
2,17,-3.3538105646804315
2,18,-2.790010812162679
2,19,-2.462906256651062
2,20,-2.684997740284452
2,21,-3.1604129044279845
2,22,-3.5443827422600482
2,23,-3.6914731117253505
2,24,-3.4717830238887384
2,25,-2.985713850960543
2,26,-2.616497889991903
2,27,-2.6073538709780557
2,28,-2.761218901508075
2,29,-2.6839057319403694
2,30,-2.4353253485169293
3,0,-2.194459909517445
3,1,-2.7079590657809276
3,2,-2.798547714990055
3,3,-2.1826051150272954
3,4,-2.232864186914277
3,5,-3.0039898643599234
3,6,-3.453602217788654
3,7,-3.3869951597512276
3,8,-3.258769797800151
3,9,-3.3766142484783055
3,10,-3.5638658982455946
3,11,-3.269520344350167
3,12,-2.5911269115549307
3,13,-2.3817571887349556
3,14,-2.885257785606545
3,15,-3.5402003765123244
3,16,-3.877415229091179
3,17,-3.6742790128119482
3,18,-3.076039171838649
3,19,-2.7369154800830517
3,20,-2.9807046365005787
3,21,-3.3739223461520425
3,22,-3.563172760369036
3,23,-3.632890495262662
3,24,-3.566386899834168
3,25,-3.197290923521488
3,26,-2.7240189261707872
3,27,-2.5934190390698593
3,28,-2.7385078065673354
3,29,-2.7197183160709475
3,30,-2.655206212888047
4,0,-2.4581602232613187
4,1,-3.0957335900880754
