x,y,z
-15.0,-15.0,6.459776194295639
-15.0,-14.0,3.578368260614168
-15.0,-13.0,3.9876459972335816
-15.0,-12.0,4.2560146632121345
-15.0,-11.0,4.530033991372106
-15.0,-10.0,5.274798152653121
-15.0,-9.0,5.525348126567348
-15.0,-8.0,5.23320796093112
-15.0,-7.0,5.435301816718189
-15.0,-6.0,6.288827532876304
-15.0,-5.0,6.917243781815669
-15.0,-4.0,7.018008314184095
-15.0,-3.0,7.206464791704387
-15.0,-2.0,7.640241398391055
-15.0,-1.0,7.883815328129543
-15.0,0.0,7.9867965275830395
-15.0,1.0,8.155800362460571
-15.0,2.0,8.343306137891393
-15.0,3.0,8.751084112791034
-15.0,4.0,9.198945954338374
-15.0,5.0,9.216329719737825
-15.0,6.0,9.696750599058916
-15.0,7.0,11.408171225005201
-15.0,8.0,12.73575278022578
-15.0,9.0,12.559256466276317
-15.0,10.0,12.276642465250566
-15.0,11.0,12.553639307541374
-15.0,12.0,12.56476970839367
-15.0,13.0,12.4660235038933
-15.0,14.0,12.622304555698443
-15.0,15.0,12.614451808039455
-14.0,-15.0,3.400647630236417
-14.0,-14.0,-0.4706309943590856
-14.0,-13.0,1.2203099748079431
-14.0,-12.0,0.7554485972466463
-14.0,-11.0,-0.014458469529762041
-14.0,-10.0,1.1732812286257648
-14.0,-9.0,1.6908953734500614
-14.0,-8.0,1.748794138992368
-14.0,-7.0,2.9184451168929932
-14.0,-6.0,3.859756905606769
-14.0,-5.0,4.298277380120071
-14.0,-4.0,5.1726917567046975
-14.0,-3.0,5.6760089750104505
-14.0,-2.0,5.75868500617459
-14.0,-1.0,6.33331525075096
-14.0,0.0,6.603686222392566
-14.0,1.0,6.36778661053037
-14.0,2.0,6.94799092454843
-14.0,3.0,7.811225219615693
-14.0,4.0,7.67633412186026
-14.0,5.0,7.553667641560653
-14.0,6.0,8.797491955779295
-14.0,7.0,10.840245246393378
-14.0,8.0,12.107104036891451
-14.0,9.0,11.85278926745468
-14.0,10.0,11.370685102065295
-14.0,11.0,12.075756070084214
-14.0,12.0,12.824360926957835
-14.0,13.0,12.358316619991598
-14.0,14.0,11.88449371593452
-14.0,15.0,12.263347712231141
-13.0,-15.0,6.596425759790852
-13.0,-14.0,4.255736905493777
-13.0,-13.0,5.838650774371207
-13.0,-12.0,5.244552064105509
-13.0,-11.0,4.470914191288674
-13.0,-10.0,5.225981038901367
-13.0,-9.0,5.6269725373089745
-13.0,-8.0,6.392233899294821
-13.0,-7.0,7.88474222779716
-13.0,-6.0,8.248787547077775
-13.0,-5.0,8.246888105287903
-13.0,-4.0,9.022070019807778
-13.0,-3.0,9.247561199064293
-13.0,-2.0,9.081520599703587
-13.0,-1.0,9.404352594116235
-13.0,0.0,9.174238645289332
-13.0,1.0,8.840140527777049
-13.0,2.0,9.704229498133618
-13.0,3.0,10.151633313198346
-13.0,4.0,9.380749856280168
-13.0,5.0,9.593579941428839
-13.0,6.0,11.190415033510671
-13.0,7.0,12.4848265011378
-13.0,8.0,12.968650398694745
-13.0,9.0,12.788548058077389
-13.0,10.0,12.553622001396988
-13.0,11.0,13.238381931438255
-13.0,12.0,13.940881986303701
-13.0,13.0,13.520603100899233
-13.0,14.0,13.175573808648316
-13.0,15.0,13.492449118571399
-12.0,-15.0,5.327924963265916
-12.0,-14.0,3.7264560025616547
-12.0,-13.0,4.728081532751329
-12.0,-12.0,4.567793354773643
-12.0,-11.0,5.098649080368384
-12.0,-10.0,6.3884129220754975
-12.0,-9.0,6.542222630789825
-12.0,-8.0,6.932277835255064
-12.0,-7.0,8.192254660689365
-12.0,-6.0,8.689989930758305
-12.0,-5.0,8.982641733116282
-12.0,-4.0,9.75981902141708
-12.0,-3.0,9.682332549780433
-12.0,-2.0,9.119314801198716
-12.0,-1.0,9.256080847786318
-12.0,0.0,9.202530524408129
-12.0,1.0,8.851433106673984
-12.0,2.0,9.243568414447207
-12.0,3.0,9.606238000985702
-12.0,4.0,9.460188259476517
-12.0,5.0,10.167752825783406
-12.0,6.0,11.668200834042612
-12.0,7.0,12.530023258723523
-12.0,8.0,12.670171894734224
-12.0,9.0,12.676778539049407
-12.0,10.0,12.779234309074557
-12.0,11.0,13.124112733209827
-12.0,12.0,13.3818307187761
-12.0,13.0,13.357309358287889
-12.0,14.0,13.496059272250227
-12.0,15.0,13.547506025558402
-11.0,-15.0,4.338629280906888
-11.0,-14.0,2.8773700527813126
-11.0,-13.0,3.4925938158401646
-11.0,-12.0,3.794811615368957
-11.0,-11.0,5.305333526141359
-11.0,-10.0,6.958865039415183
-11.0,-9.0,6.774316745381558
-11.0,-8.0,6.513093485696455
-11.0,-7.0,7.351056066026301
-11.0,-6.0,8.172728799325768
-11.0,-5.0,9.188110102855088
-11.0,-4.0,10.309916685764959
-11.0,-3.0,10.051341619228749
-11.0,-2.0,9.168503074023377
-11.0,-1.0,9.242859253309906
-11.0,0.0,9.282924341624197
-11.0,1.0,8.61120441947114
-11.0,2.0,8.444938809509264
-11.0,3.0,8.948882615049289
-11.0,4.0,9.477211898957947
-11.0,5.0,10.30421840298878
-11.0,6.0,11.42396784961631
-11.0,7.0,12.271674617429337
-11.0,8.0,12.78996177740465
-11.0,9.0,13.026920046844543
-11.0,10.0,13.016386175611517
-11.0,11.0,13.1016105092204
-11.0,12.0,13.294842152355447
-11.0,13.0,13.406592190521541
-11.0,14.0,13.556571541310438
-11.0,15.0,13.586800598333566
-10.0,-15.0,6.2508453860597175
-10.0,-14.0,5.453274086291559
-10.0,-13.0,6.1127541379920824
-10.0,-12.0,6.579795879349071
-10.0,-11.0,8.015746941988304
-10.0,-10.0,9.121517998070336
-10.0,-9.0,8.666133529249468
-10.0,-8.0,8.544292610051695
-10.0,-7.0,9.481366599096873
-10.0,-6.0,10.492449740194536
-10.0,-5.0,11.667763443395383
-10.0,-4.0,12.526175864107744
-10.0,-3.0,12.146816420586347
-10.0,-2.0,11.527127953997034
-10.0,-1.0,11.292897994350136
-10.0,0.0,10.605119058635639
-10.0,1.0,9.922813122023086
-10.0,2.0,9.956392394021112
-10.0,3.0,9.98426134941431
-10.0,4.0,10.141225031152302
-10.0,5.0,11.10345019915475
-10.0,6.0,12.098137053923397
-10.0,7.0,12.764625201191576
-10.0,8.0,13.608067556002439
-10.0,9.0,14.04200325174295
-10.0,10.0,13.811671305612215
-10.0,11.0,13.85378256853613
-10.0,12.0,14.000802503981385
-10.0,13.0,13.715948151091391
-10.0,14.0,13.779004702095847
-10.0,15.0,14.296190883646776
-9.0,-15.0,6.170885569203282
-9.0,-14.0,5.745892084974161
-9.0,-13.0,6.603594265073301
-9.0,-12.0,6.729715297353149
-9.0,-11.0,8.092796248199013
-9.0,-10.0,9.548323428492157
-9.0,-9.0,9.236304524727199
-9.0,-8.0,9.17144601095604
-9.0,-7.0,10.457922419883397
-9.0,-6.0,11.624492436312819
-9.0,-5.0,12.333891388884277
-9.0,-4.0,12.683732446262901
-9.0,-3.0,12.34042162193894
-9.0,-2.0,11.951737935784923
-9.0,-1.0,11.680678025605772
