z,x,y
0,-10,-3.93720452
0,-9,-3.88000803
0,-8,-4.66238038
0,-7,-4.23874408
0,-6,-3.36569754
0,-5,-3.00288972
0,-4,-2.45236552
0,-3,-2.04541415
0,-2,-2.23407782
0,-1,-1.96319157
0,0,-1.2769164
0,1,-1.35044977
0,2,-1.61808751
0,3,-1.29104857
0,4,-1.34664774
0,5,-1.9446817
0,6,-1.81513066
0,7,-1.18209906
0,8,-1.14279885
0,9,-1.18285359
0,10,-0.63431284
1,-10,-2.65640625
1,-9,-2.70500359
1,-8,-3.14394624
1,-7,-3.18270611
1,-6,-3.28780674
1,-5,-2.86617576
1,-4,-1.60486005
1,-3,-1.12994388
1,-2,-1.33467688
1,-1,-0.56852398
1,0,0.19265735
1,1,-0.36549384
1,2,-0.7894419
1,3,-0.30829845
1,4,-0.12859898
1,5,-0.32886758
1,6,-0.27023911
1,7,-0.34445501
1,8,-0.70412663
1,9,-0.90831661
1,10,-0.92088898
2,-10,-2.37841553
2,-9,-2.65840578
2,-8,-2.61445804
2,-7,-2.61366655
2,-6,-3.00732353
2,-5,-2.49508183
2,-4,-0.96370111
2,-3,-0.41567313
2,-2,-0.53450589
2,-1,0.37759014
2,0,1.12294809
2,1,0.51515659
2,2,0.08143334
2,3,0.40899646
2,4,0.49511798
2,5,0.36635348
2,6,0.17867893
2,7,-0.31454505
2,8,-0.5570454
2,9,-0.45620579
2,10,-0.60280848
3,-10,-3.04394709
3,-9,-3.45906507
3,-8,-3.28912191
3,-7,-2.79857379
3,-6,-2.5916698
3,-5,-2.14634363
3,-4,-1.15222672
3,-3,-0.69051814
3,-2,-0.7708417
3,-1,-0.2006588
3,0,0.58521837
3,1,0.56565315
3,2,0.38783693
3,3,0.61893568
3,4,0.57655166
3,5,-0.00311342
3,6,-0.62501009
3,7,-0.83884665
3,8,-0.46978436
3,9,-0.02717822
3,10,-0.07440962
4,-10,-2.1913255
4,-9,-2.98222672
4,-8,-2.75408819
4,-7,-1.95846936
4,-6,-1.58295306
4,-5,-1.34754617
4,-4,-0.83082642
4,-3,-0.55059645
4,-2,-0.57548982
4,-1,-0.23677632
4,0,0.43140824
4,1,0.79271617
4,2,0.75215704
4,3,0.62110136
4,4,0.43352443
4,5,0.03231061
4,6,-0.41432166
4,7,-0.40266285
4,8,0.08278972
4,9,0.29658805
4,10,-0.04145916
5,-10,-1.04302707
5,-9,-1.96484957
5,-8,-1.66796502
5,-7,-1.15158731
5,-6,-1.15627105
5,-5,-1.0871507
5,-4,-0.73101464
5,-3,-0.44082656
5,-2,-0.15278841
5,-1,0.15798004
5,0,0.41702961
5,1,0.70363578
5,2,0.58164457
5,3,-0.18504069
5,4,-0.67779028
5,5,-0.48028389
5,6,-0.27825977
5,7,-0.10315209
5,8,0.22421282
5,9,0.06359472
5,10,-0.47303088
6,-10,-0.99741776
6,-9,-1.14269163
6,-8,-1.02303243
6,-7,-1.17510651
6,-6,-1.40505922
6,-5,-1.42736635
6,-4,-1.34374407
6,-3,-0.99957948
6,-2,-0.31535269
