x,z
0.0,-7.169119317766618
1.0,-7.688992377536449
2.0,-4.306027649543137
3.0,-4.3189500940436965
4.0,-4.537058012295352
5.0,-2.570478389199844
6.0,-2.0180933145432007
7.0,-2.4885554937126395
8.0,-1.5746735518472266
9.0,-1.6104691689724662
10.0,-3.3766101858118813
11.0,-3.4542036257485766
12.0,-1.9295934280241962
13.0,-1.7403343823616202
14.0,-2.085017601499298
15.0,-1.0480693483213221
16.0,-0.0510964595134817
17.0,-0.6713656275257377
18.0,-1.8442991035379765
19.0,-2.1412358539293215
20.0,-1.6085439331601867
21.0,-1.045222637048595
22.0,-0.7199357960698057
23.0,-0.15032189429633158
24.0,0.6102317229264708
25.0,0.8294877793363313
26.0,0.9615324729353621
27.0,1.970609105201281
28.0,2.639314511621133
29.0,1.4195443119253937
30.0,-0.08312028021380008
31.0,0.09672119474816596
32.0,0.5504442694181046
33.0,-0.2807974091944453
34.0,-1.033416328577282
35.0,-0.6803654847903072
36.0,-0.2934100557430521
37.0,-0.20466497773424502
38.0,0.14961616018444954
39.0,0.17992778925141134
40.0,-0.5124182748696284
41.0,-0.8710323223444154
42.0,-0.5078458770099031
43.0,-0.29953953461630123
44.0,-0.4181094163674007
45.0,-0.3243331912907905
46.0,-0.047657770645746014
47.0,0.14126582596499254
48.0,0.20787969751366098
49.0,0.08313890473085715
50.0,-0.0489148024249079
