z,x,y
0,0,-5.8359087853017
0,1,-8.571474719376768
0,2,-9.45165676314718
0,3,-9.356545629815182
0,4,-9.14599511750319
0,5,-8.865416042425965
0,6,-8.292094204855683
0,7,-7.922012559891209
0,8,-8.004645909968742
0,9,-7.9273756053945394
0,10,-7.566327547739633
0,11,-7.35287283828111
0,12,-7.198973539286355
0,13,-6.954170880929339
0,14,-6.746610685434437
0,15,-6.473737295385078
0,16,-6.234136831144262
0,17,-6.275370518166437
0,18,-6.179018630152773
0,19,-5.738844292262281
0,20,-5.435077095912757
0,21,-4.944207951280374
0,22,-3.7046073090479994
0,23,-2.644596124865961
0,24,-2.601295501789351
0,25,-2.8284353509972164
0,26,-2.744215322025473
0,27,-2.5968696172164147
0,28,-2.4049636694497605
0,29,-2.2689593797342447
0,30,-2.3989871384712242
0,31,-2.434495882594282
0,32,-2.3484081117326987
0,33,-2.6171061472627386
0,34,-2.837865853073767
0,35,-2.582107650815222
0,36,-2.5767889682482665
0,37,-2.9274547291220756
0,38,-2.7381056112132796
0,39,-2.2875773431218955
0,40,-2.4880411558276943
0,41,-2.9605658262964707
0,42,-3.0298105160253685
0,43,-2.850985291332127
0,44,-2.619370558690004
0,45,-2.358038704436282
0,46,-2.0260604800919686
0,47,-1.191769755229966
0,48,0.1649362841433811
0,49,1.11342737742098
0,50,1.134800753161024
1,0,-9.531115273951663
1,1,-13.632308330469055
1,2,-13.75593107957681
1,3,-13.662318805964013
1,4,-13.86773152282687
1,5,-13.340187492254904
1,6,-12.535407267564109
1,7,-11.925868913814082
1,8,-11.36087102991309
1,9,-10.893977259145817
1,10,-10.403222180522263
1,11,-9.718495692666801
1,12,-9.159279874799381
1,13,-8.817436713881374
1,14,-8.4252753131661
1,15,-8.151140295638616
1,16,-8.17640706487358
1,17,-8.118519312050582
1,18,-7.800888996799306
1,19,-7.534581952790349
1,20,-7.18989213606139
1,21,-6.125166113912647
1,22,-4.455663805559105
1,23,-3.3471889548523457
1,24,-3.324711046183179
1,25,-3.411078863908119
1,26,-2.912517236451232
1,27,-2.5246256199623023
1,28,-2.7212192060645615
1,29,-2.9335887325041816
1,30,-2.8208699405346356
1,31,-2.5846534860829107
1,32,-2.3279040506798157
1,33,-2.2490579255319925
1,34,-2.5195431121855947
1,35,-2.7989754741459527
1,36,-2.9164188839260596
1,37,-3.1778141724028486
1,38,-3.422140461554945
1,39,-3.276995575612277
1,40,-3.1430027168832417
1,41,-3.369492828964198
1,42,-3.4176163843630945
1,43,-2.9652074594119933
1,44,-2.456023732490189
1,45,-2.0526224693147697
1,46,-1.3945753404030135
1,47,-0.34880831243181754
1,48,0.8894332963086464
1,49,1.9460314660555753
1,50,2.2593026334009094
2,0,-8.272468642545798
2,1,-11.371716401712996
2,2,-11.100746155113361
2,3,-10.861848462643419
2,4,-10.756772653122509
2,5,-10.275409376992389
2,6,-9.827466718686209
2,7,-9.093654063130227
2,8,-8.161823457023551
2,9,-7.660654783380712
2,10,-7.159841609020988
2,11,-6.433604127389072
2,12,-6.069496176422736
2,13,-5.822274225267665
2,14,-5.481150212058353
2,15,-5.738653285684825
2,16,-6.273330303391706
2,17,-6.153197188938988
2,18,-5.811970842542854
