z,x,y
0,0,-5.675500213798975
0,1,-6.724465949983059
0,2,-7.408616708616023
0,3,-7.493709771453856
0,4,-7.390582511108251
0,5,-7.368918052368665
0,6,-7.207410254135991
0,7,-7.05521686830446
0,8,-7.02385785450555
0,9,-6.7242323628605005
0,10,-6.256213613153856
0,11,-6.110795440869973
0,12,-6.072911943479755
0,13,-5.734303528784865
0,14,-5.221429371314985
0,15,-4.612935619960006
0,16,-3.8717281099709884
0,17,-3.275824152149875
0,18,-2.9446461035214333
0,19,-2.5819725761138796
0,20,-2.03261815311806
0,21,-1.4005907761251126
0,22,-0.8110704831479153
0,23,-0.4071617632027693
0,24,-0.24583756955761846
0,25,-0.2277576885507498
0,26,-0.1800330299178317
0,27,0.1792825021721192
0,28,0.994744442288134
0,29,1.9225624372583932
0,30,2.500829452128827
0,31,2.624656217026871
0,32,2.472748067685681
0,33,2.4234994157054177
0,34,2.732251081128917
0,35,3.0482908067909924
0,36,3.023793676999702
0,37,3.022587181649561
0,38,3.263005536380409
0,39,3.2993415103321015
0,40,3.037757514676408
0,41,2.846568051910263
0,42,2.6518714921046076
0,43,2.335981856628307
0,44,2.3317242615753644
0,45,2.77141183872065
0,46,3.14831157471359
0,47,3.307916046091228
0,48,3.6363470833065423
0,49,4.254241787800613
0,50,4.927181941010551
1,0,-7.3244900524230845
1,1,-9.098961079151977
1,2,-9.887642930610614
1,3,-9.812745886371971
1,4,-9.434910721703364
1,5,-9.191708448503931
1,6,-9.091464748923189
1,7,-9.155473141815486
1,8,-9.174065716055505
1,9,-8.704274287579835
1,10,-7.976055714339728
1,11,-7.608747221149132
1,12,-7.475540808348042
1,13,-7.076093867793972
1,14,-6.429223068938942
1,15,-5.772659726456763
1,16,-5.143148686976382
1,17,-4.546816186373925
1,18,-3.965273922452752
1,19,-3.2499029790597547
1,20,-2.3449711129694584
1,21,-1.5153025128097952
1,22,-1.0841790109306146
1,23,-0.9491129942891612
1,24,-0.7818055960551703
1,25,-0.6007895928766
1,26,-0.41030620011206137
1,27,0.2532415348234236
1,28,1.4903252052451916
1,29,2.617339517150708
1,30,3.1782166565426833
1,31,3.286418587950669
1,32,3.1137703417326135
1,33,3.017269571428405
1,34,3.3166560039285247
1,35,3.633506023674387
1,36,3.6279244155311177
1,37,3.6903271881775384
1,38,3.9104785359985352
1,39,3.8478805342173406
1,40,3.609591708518287
1,41,3.4863986061307704
1,42,3.197809808675774
1,43,2.770870170421238
1,44,2.793844992024406
1,45,3.2507181805056353
1,46,3.5451350427921877
1,47,3.5182656274603934
1,48,3.497861464267314
1,49,3.829956000810637
1,50,4.57292182949172
2,0,-6.618673683265985
2,1,-8.51198671782148
2,2,-9.05774702611803
2,3,-8.659332227101805
2,4,-8.016743029545763
2,5,-7.561314828226832
2,6,-7.381710508442981
2,7,-7.483842923949654
2,8,-7.450874770723726
2,9,-6.768236806223089
2,10,-5.8453245388276365
2,11,-5.459341417551113
2,12,-5.437780738430572
2,13,-5.119131067027924
2,14,-4.483192698520582
2,15,-3.927381755017654
2,16,-3.5488388261070565
2,17,-3.1562268877565995
2,18,-2.602141841515803
2,19,-1.8264322318859438
2,20,-0.859995061439503
2,21,-0.07335271333835347
2,22,0.07671923122430824
2,23,-0.1249061373340779
2,24,0.0038019991909486956
2,25,0.3451686213173
2,26,0.5145126962034856
2,27,0.9715146978158169
2,28,2.0334710485364504
2,29,3.0079840568388914
2,30,3.37799678768789
2,31,3.3135033504986127
2,32,2.9891566405780536
2,33,2.752860458162239
2,34,2.998657530222033
2,35,3.333040021612991
2,36,3.2900639667304428
2,37,3.2172364060872005
2,38,3.274734862108202
2,39,3.1282233517939195
2,40,2.932645908357776
2,41,2.8659548859472466
2,42,2.5104660406669996
2,43,1.9171943063594357
2,44,1.7252760295550118
2,45,1.9295632950890649
2,46,2.0337737845621553
2,47,1.8992557893990365
2,48,1.7087033850470972
2,49,1.8796556238641842
2,50,2.667737298256833
3,0,-6.430540428907339
3,1,-8.498094240990882
3,2,-9.062158710094499
3,3,-8.582454399472281
3,4,-7.865240781149011
3,5,-7.3259471603946515
3,6,-7.044583959181228
3,7,-7.12543812591013
3,8,-7.191508669662476
3,9,-6.63116868550545
3,10,-5.7766370344999585
3,11,-5.422865798984916
3,12,-5.424926686798983
3,13,-5.113929935929646
3,14,-4.450210900885594
3,15,-3.848309494684483
3,16,-3.4918688479652795
3,17,-3.2334716685190896
3,18,-2.8077903305638525
3,19,-2.032874894139085
3,20,-1.009228240776437
3,21,-0.24355554848940567
3,22,-0.19326412646729538
3,23,-0.44141811421217714
3,24,-0.17024208019958262
3,25,0.444353568325815
3,26,0.7342580277706556
3,27,1.0275126405163564
3,28,1.8778021246831136
3,29,2.7938229653281326
3,30,3.162500596203571
3,31,3.0711891993440146
3,32,2.757408269827805
3,33,2.5719742111712933
3,34,2.8687639369397533
3,35,3.244938995702626
3,36,3.1816516462553346
3,37,3.057475529412047
3,38,3.208740078344944
3,39,3.2770494397243493
3,40,3.1684076520640234
3,41,3.06492588143682
3,42,2.7721760557540467
3,43,2.283352243090702
3,44,2.0099297234508415
3,45,2.0232189200386523
3,46,2.068521412132848
3,47,1.998321485067669
3,48,1.8312082389356448
3,49,1.9683606739447745
3,50,2.7371395916369368
4,0,-6.307082526827572
4,1,-8.398145071011946
4,2,-9.042244016286626
4,3,-8.573482627497068
4,4,-7.7500772543720755
4,5,-7.1039931455514305
4,6,-6.793799043925047
4,7,-6.943180427425021
4,8,-7.242582220274082
4,9,-7.016712864292156
4,10,-6.335218621755557
4,11,-5.870373857867027
4,12,-5.654799279995166
4,13,-5.2338645916916215
4,14,-4.581435673332408
4,15,-3.985596171561541
4,16,-3.59801655729526
4,17,-3.3803657436230683
4,18,-3.066140381694324
4,19,-2.3261580109386526
4,20,-1.26029334096801
4,21,-0.5083226594814193
4,22,-0.528380995774387
4,23,-0.8112481658606856
4,24,-0.477982263556387
4,25,0.3214214099902506
4,26,0.7896379403868636
4,27,1.0629402173817544
4,28,1.7926336423141194
4,29,2.7074155583813724
4,30,3.133190987566994
4,31,3.0504492135268566
4,32,2.7817999586504727
4,33,2.638463807198769
4,34,2.8092661755009996
4,35,2.957433350801115
4,36,2.7505448453660364
4,37,2.6468332150969673
4,38,3.012291153117708
4,39,3.358680201323435
4,40,3.323206587994288
4,41,3.1371634647032733
4,42,2.9252407157084517
4,43,2.6666935237847738
4,44,2.4939251066320365
4,45,2.468999116268297
4,46,2.5163098278294065
4,47,2.4994505665181053
4,48,2.3229667107512575
4,49,2.3184442062829946
4,50,2.8674271467320236
5,0,-5.394086552140963
5,1,-7.2106601386545135
5,2,-7.737420976787777
5,3,-7.266399121231755
5,4,-6.419971072564509
5,5,-5.7969683915064
5,6,-5.59553420744776
5,7,-5.818988237398279
5,8,-6.211975627566976
5,9,-6.196404047340073
5,10,-5.612225049620208
5,11,-4.91756271888942
5,12,-4.337685081674329
5,13,-3.7135056900992947
5,14,-3.090792573191968
5,15,-2.6619991139144097
5,16,-2.4367176852145866
5,17,-2.3196015826566736
5,18,-2.134241305506336
5,19,-1.623380627886272
5,20,-0.8102655470621107
5,21,-0.2164909489107248
5,22,-0.296019499314933
5,23,-0.6361642168157875
5,24,-0.3542755210473004
5,25,0.5308521699302705
5,26,1.1545371832539888
5,27,1.3800172909890254
5,28,1.873152411347721
5,29,2.659431220619691
5,30,3.119759178590133
5,31,3.089061600181807
5,32,2.878373547592868
5,33,2.738519478769473
5,34,2.6758842348308
5,35,2.4323167737382065
5,36,1.9762934347842187
5,37,1.853645172689966
5,38,2.30468025135397
5,39,2.7545768859076625
5,40,2.806587405366347
5,41,2.680482349638927
5,42,2.538205589703944
5,43,2.3785391033648104
5,44,2.2767833333757026
5,45,2.2202704537519393
5,46,2.1502905085268216
5,47,2.0470207565211607
5,48,1.8455130184851782
5,49,1.7464951268421758
5,50,2.1092708040446997
6,0,-4.9637732148639016
6,1,-6.4925942754818875
6,2,-6.878910413071466
6,3,-6.561418317352745
6,4,-6.001962592621332
6,5,-5.609038830533117
6,6,-5.493790845960971
6,7,-5.599687822852877
6,8,-5.817781762283303
6,9,-5.817397625298648
6,10,-5.337304498245135
6,11,-4.549395754032047
6,12,-3.7273853178859553
6,13,-2.9636468637262716
6,14,-2.3602338477800413
6,15,-2.034379288159742
6,16,-1.9559186668219475
6,17,-1.9936034304921533
6,18,-1.9867290500309187
6,19,-1.7716314513401743
6,20,-1.3117464003759116
6,21,-0.8514516568265732
6,22,-0.7504948325029855
6,23,-0.8754152562454751
6,24,-0.5398414172704353
6,25,0.38859017852339134
6,26,1.1104850715831152
6,27,1.279186065361202
6,28,1.5310381594759033
6,29,2.150459639558018
6,30,2.643660116931716
6,31,2.7707440072241454
6,32,2.7830706654497233
6,33,2.823922237383721
6,34,2.7516802434166294
6,35,2.365888614831053
6,36,1.8294266544995939
6,37,1.7196186454014581
6,38,2.1841519705640087
