z,x,y
0,0,-2.6276812127694344
0,1,-3.175628801391756
0,2,-3.269878418201531
0,3,-2.7898408700441486
0,4,-3.157223903434823
0,5,-3.926597703162785
0,6,-4.163881233192192
0,7,-4.313645390615406
0,8,-4.593128114940176
0,9,-4.763012418975281
0,10,-4.846177108047931
0,11,-4.47048709044883
0,12,-3.641388778320462
0,13,-3.4065339825192598
0,14,-3.9283119086129012
0,15,-4.306585153966992
0,16,-4.437579327634616
0,17,-4.43509606327002
0,18,-3.923634211549906
0,19,-3.3847799934344387
0,20,-3.655823111585102
0,21,-4.3554543564301165
0,22,-4.866648815373881
0,23,-5.195729142228676
0,24,-5.0849594696327385
0,25,-4.433442521690624
0,26,-4.0602172740099
0,27,-4.336110993609074
0,28,-4.441983707144349
0,29,-3.947652910959213
0,30,-3.507738176359479
0,31,-3.5676078563240288
0,32,-3.8473955244672235
0,33,-4.223589602668156
0,34,-4.736965911329593
0,35,-4.854531537506891
0,36,-4.182332000985181
0,37,-3.4196986545695345
0,38,-3.2895611259463395
0,39,-3.616348700481218
0,40,-4.163273093154808
0,41,-4.727144482097471
0,42,-4.7225466230042805
0,43,-4.316552931525949
0,44,-4.549640186897463
0,45,-5.4093255380748015
0,46,-5.8346449421366655
0,47,-5.493436006498781
0,48,-4.822771528542704
0,49,-4.262786707817261
0,50,-4.133496241874931
1,0,-3.9079864135089757
1,1,-4.415043645051119
1,2,-4.246246760944025
1,3,-3.658778382132818
1,4,-4.004244945970997
1,5,-4.738152290217527
1,6,-5.046271549992333
1,7,-5.283486582010194
1,8,-5.448901431215371
1,9,-5.464207847755707
1,10,-5.639587493254676
1,11,-5.420773872118374
1,12,-4.488826465472335
1,13,-4.095100555636841
1,14,-4.760679342806942
1,15,-5.371847339186284
1,16,-5.451115002546309
1,17,-5.307401520540527
1,18,-4.871171635509867
1,19,-4.41670590392308
1,20,-4.598527610356707
1,21,-5.280512747822905
1,22,-5.8789849103292475
1,23,-6.125235420329427
1,24,-5.862177005482491
1,25,-5.2117234728499175
1,26,-4.7849264890568595
1,27,-4.924216156527058
1,28,-5.152189050965267
1,29,-4.840215702890495
1,30,-4.2229162717013535
1,31,-4.102809021280302
1,32,-4.522323990979761
1,33,-4.962227682599189
1,34,-5.529407532783111
1,35,-6.131258921767051
1,36,-5.747374954725337
1,37,-4.395303817145104
1,38,-3.636891543507189
1,39,-4.093707574259821
1,40,-4.920201326809688
1,41,-5.418719343080799
1,42,-5.352419321927178
1,43,-5.000835746033977
1,44,-5.268750986719877
1,45,-6.233999634464794
1,46,-6.781728287476763
1,47,-6.4870696969930215
1,48,-5.891324633440912
1,49,-5.258089285743382
1,50,-4.784300186141008
2,0,-2.2314830512049237
2,1,-2.6295877698729084
2,2,-2.562949582144078
2,3,-2.062493312708027
2,4,-2.222126006070894
2,5,-2.8194165176793207
2,6,-3.2168917750918515
2,7,-3.457370825928644
2,8,-3.4807135464006516
2,9,-3.3863871930089986
2,10,-3.47497103646899
2,11,-3.2665445124265475
2,12,-2.477053578605022
2,13,-2.072099716400361
2,14,-2.6101145198707028
2,15,-3.3517037053905168
2,16,-3.6204236868445006
2,17,-3.3538105646804315
2,18,-2.790010812162679
2,19,-2.462906256651062
2,20,-2.684997740284452
2,21,-3.1604129044279845
2,22,-3.5443827422600482
2,23,-3.6914731117253505
2,24,-3.4717830238887384
