z,x,y
0,0,2.0552742023282558
0,1,3.7499802690901833
0,2,3.769671510824725
0,3,4.9174953597185995
0,4,5.401493890760012
0,5,4.262719466176202
0,6,4.17456096831696
0,7,5.5317059558065385
0,8,6.507084222368414
0,9,6.923919244467449
0,10,6.730505504943382
0,11,5.842497272669008
0,12,5.677325459419674
0,13,6.257808721373472
0,14,6.147111468032151
0,15,6.053210517624872
0,16,6.4846350862953095
0,17,5.779428044666902
0,18,4.5421820590017425
0,19,4.892018889909105
0,20,5.478029765303409
0,21,4.587699848754235
0,22,3.893522633568317
0,23,4.245039664865733
0,24,3.991250094029051
0,25,2.9453604924432564
0,26,2.596412315602368
0,27,3.2903152572012715
0,28,4.181855757324843
0,29,4.699892760218402
0,30,5.118963648979896
0,31,5.813100807670075
0,32,6.494756478091782
0,33,7.080457749390899
0,34,7.671279733990379
0,35,7.461777335998734
0,36,6.5345889538399256
0,37,6.49826956712742
0,38,6.9427332126425485
0,39,6.445071224953637
0,40,6.594226756676184
0,41,8.366535110242472
0,42,9.20437246060583
0,43,8.681867536630104
0,44,8.958584235987209
0,45,9.171535115255596
0,46,8.083640133565712
0,47,7.543825065489797
0,48,7.8163615570396825
0,49,7.406212470502794
0,50,7.238820151070982
1,0,4.348854575064738
1,1,7.238262897596061
1,2,7.593929966620714
1,3,6.958226449814858
1,4,6.624744347810483
1,5,6.582061585612657
1,6,6.324451327060484
1,7,6.472450498280644
1,8,7.519241291959655
1,9,8.646787389040817
1,10,8.884953210473645
1,11,8.096042843922852
1,12,7.185200235030261
1,13,6.960132023619036
1,14,6.799809414740541
1,15,6.399115595846115
1,16,6.37208733965538
1,17,5.785222520094181
1,18,4.155200972940526
1,19,3.7993634150032154
1,20,4.904246110314993
1,21,4.859515721516236
1,22,4.2602820775369175
1,23,4.475036353834294
1,24,3.6264158962746373
1,25,2.1897570550226533
1,26,2.790350681376167
1,27,3.58756397784698
1,28,3.023129679658374
1,29,3.977757598170578
1,30,5.928702221634176
1,31,5.6331147704811295
1,32,5.364227541166391
1,33,7.58364225006143
1,34,9.0356012825652
1,35,8.312787144418472
1,36,8.222315385454381
1,37,9.150827047232479
1,38,9.551662603075625
1,39,9.72963349445417
1,40,10.449577173479561
1,41,11.643175502442856
1,42,12.692872280758468
1,43,12.92701583246474
1,44,12.866228527395167
1,45,12.871490489210824
1,46,11.965244510026336
1,47,10.909923306572857
1,48,11.504840940226561
1,49,12.38395805474694
1,50,11.802153956867762
2,0,3.518834577658378
2,1,7.688016724574824
2,2,8.197097111339948
2,3,6.407508567479922
2,4,5.578181687293589
2,5,5.457587248887354
2,6,4.889424418325884
2,7,4.898567090861633
2,8,5.919767812696029
2,9,6.753496520136214
2,10,6.950516401979386
2,11,6.871301788904638
2,12,6.5419148824708495
2,13,6.177011113358854
2,14,6.072677760532069
2,15,5.814280490344946
2,16,5.147840813232992
2,17,4.5289591790204575
2,18,3.931039184260265
2,19,3.152232179455119
2,20,3.1556785331811716
2,21,4.43290072337368
2,22,5.266223823712775
2,23,4.366100391973507
2,24,3.0736884674472296
2,25,2.7296554861153837
2,26,2.6513941627858517
2,27,2.2392560524865672
2,28,2.2342903881776888
2,29,2.847510581621643
2,30,3.0890919969440636
2,31,2.79208914356343
2,32,3.0811933227848805
2,33,4.01193038429624
2,34,4.328711426358581
2,35,4.1155079759034345
2,36,4.363454833931331
2,37,4.44921381949381
2,38,3.8733460577238663
2,39,4.1246974030636
2,40,5.48464642573757
2,41,6.151839400263551
2,42,6.068127934990386
2,43,6.612226630290576
2,44,7.231278133474994
2,45,6.6368751863031825
2,46,5.398718875423272
2,47,5.092869295126365
