z,x,y
0,0,-2.1911356199676066
0,1,-1.8025689296412193
0,2,-2.819546749789968
0,3,-2.434637372144654
0,4,-1.6898871906806523
0,5,-1.6983039083786045
0,6,-1.3633395282135543
0,7,-0.41116356861270736
0,8,0.05295364842845028
0,9,-0.24463847707097586
0,10,-0.6525712889676009
0,11,-0.883025671746581
0,12,-1.3141789762976097
0,13,-2.2663955273683833
0,14,-3.2079401552970066
0,15,-3.3542665486425207
0,16,-2.956061955939603
0,17,-2.751877535973393
0,18,-2.6844781783268385
0,19,-2.5140373185423295
0,20,-2.64529275757195
0,21,-3.19170148502375
0,22,-3.48337819886983
0,23,-3.2700890758955294
0,24,-3.1194173215765644
0,25,-3.118091354763502
0,26,-2.541501730724488
0,27,-1.4078592689508702
0,28,-0.9233609458516203
0,29,-1.5790376673195596
0,30,-2.3231670920181826
1,0,-2.5571033889040478
1,1,-2.367535238533344
1,2,-3.850812754659876
1,3,-3.588886668812464
1,4,-2.596372699348423
1,5,-1.9769295863217937
1,6,-1.1074555854582582
1,7,-0.4609080885444272
1,8,-0.6388089348961581
1,9,-1.0304095920492076
1,10,-1.4492416414927864
1,11,-2.0756974273402427
1,12,-2.706550234772432
1,13,-3.4985982142535272
1,14,-4.279579171173907
1,15,-4.23555554345443
1,16,-3.7696725909190456
1,17,-3.763459210991462
1,18,-3.6889167805509913
1,19,-3.4597667072310827
1,20,-4.048490306651082
1,21,-4.809415728598154
1,22,-4.499005571844725
1,23,-3.929450715593926
1,24,-3.8775571407646034
1,25,-3.5264686202361233
1,26,-2.761494159049178
1,27,-2.253445364576049
1,28,-1.949212911894567
1,29,-2.0663526610597813
1,30,-3.022050972362623
2,0,-0.5371245060449023
2,1,-0.44840592512537153
2,2,-1.9713335837500483
2,3,-1.9408044373623894
2,4,-1.3151048892918606
2,5,-1.0535112804852802
2,6,-0.3435539853210879
2,7,0.30852154631203815
2,8,-0.1332562287949708
2,9,-1.206678740603718
2,10,-2.12558807332359
2,11,-2.555892120994028
2,12,-2.6283358848818734
2,13,-3.1432403494635386
2,14,-4.087490253155825
2,15,-4.256509249610821
2,16,-3.5771632960717095
2,17,-3.088142522258463
2,18,-2.984309271486133
2,19,-3.118195036436672
2,20,-3.495949506606671
2,21,-3.475021561204945
2,22,-2.8310572815438677
2,23,-2.4181256312911765
2,24,-2.380300145898968
2,25,-2.106414258710007
2,26,-1.6698215979972766
